aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
1800.0,27,27,Moema,1,São Paulo,2947535558,1100.0,1,20,-23.60086,-46.67348,1,1,0.0
5100.0,65,65,Moema,2,São Paulo,2938270410,1600.0,2,20,-23.60597,-46.6653499,2,0,1100000.0
12800.0,52,52,Itaim Bibi,1,São Paulo,2946377346,1800.0,1,20,-23.5829506,-46.6784706,1,0,735000.0
3000.0,44,44,Moema,2,São Paulo,2945245346,900.0,1,NaN,-23.6056928,-46.6746577,1,1,0.0
1430.0,23,23,Santa Cecília,1,São Paulo,2948691849,423.0,0,NaN,-23.5458948,-46.6490934,1,0,0.0
2160.0,45,45,Jardins,1,São Paulo,2938272370,1750.0,1,10,-23.5537233,-46.65724009999997,1,1,0.0
998.0,65,65,Mandaqui,1,São Paulo,2948776630,654.0,1,NaN,-23.4653378,-46.6344654,3,1,0.0
815.0,13,13,Jardim Ester Yolanda,1,São Paulo,2948303837,485.0,0,NaN,-23.5714366,-46.7424849,1,0,0.0
2500.0,87,87,Jardim Trevo,3,Jundiaí,2948255754,650.0,2,NaN,-23.1866637,-46.9130671,3,1,550000.0
1870.0,65,65,Vila Sônia,2,São Paulo,2948730576,907.0,0,NaN,-23.6003027,-46.7300304,2,1,0.0
1020.0,23,23,Santa Teresinha,1,Santo André,2948062479,100.0,0,NaN,-23.6439209,-46.5251035,1,1,0.0
840.0,40,40,São Bernardo,1,Campinas,2948710167,356.0,1,NaN,-22.9227869,-47.0753158,2,0,0.0
8110.0,100,100,Jardim Europa,3,São Paulo,2948930531,1200.0,1,NaN,-23.5784041,-46.6903182,2,1,0.0
1100.0,31,31,Centro,1,Osasco,2948627205,674.0,1,NaN,-23.534456,-46.7844844,1,0,0.0
4600.0,300,300,Riviera de São Lourenço,5,Bertioga,2939146542,2378.0,3,NaN,-23.8055147,-46.0298359,4,4,5700000.0
2000.0,65,32,Jardins,1,São Paulo,2948903204,1300.0,1,20,-23.5585911,-46.6679621,1,1,0.0
9900.0,245,245,Perdizes,5,São Paulo,2948143997,3000.0,4,25,-23.5396079,-46.68307970000001,4,3,0.0
900.0,47,47,Jardim Manoel Penna,1,Ribeirão Preto,2947761468,280.0,1,NaN,-21.2115182,-47.7701217,2,0,0.0
1800.0,92,92,Jardim Aurélia,2,Campinas,2947868161,700.0,3,NaN,-22.9080049,-47.0941541,3,1,0.0
2500.0,65,65,Ipiranga,2,São Paulo,2948632779,619.0,0,20,-23.577640113403543,-46.6059227352838,2,1,0.0
15000.0,285,285,Aclimação,4,São Paulo,2948239834,3100.0,4,NaN,-23.5729719,-46.6354025,4,3,0.0
2000.0,64,64,Centro,1,Osasco,2948455353,0.0,1,NaN,-23.5336893,-46.760565,3,0,0.0
2200.0,83,75,Cambuci,3,São Paulo,2947596106,857.0,1,37,16.0,22.0,3,1,0.0
2500.0,128,128,Santa Paula,2,São Caetano do Sul,2948166622,1100.0,2,NaN,-23.6201105,-46.5628574,3,1,0.0
1420.0,63,63,Jardim Santa Emília,1,São Paulo,2948710133,520.0,1,NaN,-23.6504343,-46.6023302,2,0,0.0
2800.0,37,37,Moema,1,São Paulo,2948728506,800.0,1,NaN,-23.613362,-46.6631582,1,0,0.0
1250.0,200,46,Vila Regente Feijó,1,São Paulo,2948718344,145.0,0,NaN,-23.5556191,-46.5727288,1,0,0.0
1100.0,82,82,Centro,1,Osasco,2948710036,250.0,1,NaN,-23.5432789,-46.7776025,2,0,0.0
1200.0,40,40,Itaquera,1,São Paulo,2948607627,90.0,0,NaN,-23.5218241,-46.4386327,2,0,0.0
3750.0,70,70,Alphaville,2,Barueri,2948587999,750.0,1,NaN,-23.4850446,-46.8506801,2,0,0.0
4100.0,480,48,Vila Nova Conceição,1,São Paulo,2948645356,1100.0,1,20,-23.5968457,-46.6680067,1,1,0.0
1500.0,70,70,Tatuapé,2,São Paulo,2948929727,800.0,1,NaN,-23.55341148376465,-46.57400894165039,3,1,0.0
2200.0,111,111,Jardim Nova Aliança Sul,3,Ribeirão Preto,2940058942,480.0,2,NaN,-21.2222462,-47.828817000000015,3,1,0.0
2300.0,37,37,Bela Vista,1,São Paulo,2938798449,0.0,0,30,-23.5497197,-46.645352900000034,1,0,0.0
4300.0,99,99,Itaim Bibi,1,São Paulo,2948607593,1300.0,1,NaN,-23.5798415,-46.6761284,2,1,0.0
6000.0,248,248,Morumbi,5,São Paulo,2948400758,3210.0,4,NaN,-23.6183221,-46.7387968,4,4,0.0
2300.0,129,129,Cambuci,3,São Paulo,2948002740,1100.0,1,NaN,-23.563564,-46.6223343,3,0,0.0
15000.0,235,235,Itaim Bibi,4,São Paulo,2948446193,1950.0,4,NaN,-23.5820369,-46.6734929,3,3,0.0
3800.0,127,127,Vila Carrão,3,São Paulo,2948303944,996.0,2,NaN,-23.5442291,-46.541322,2,2,0.0
4300.0,107,99,Jardim Europa,2,São Paulo,2943938345,1600.0,1,40,-23.5816849,-46.69193949999999,2,0,1590000.0
2200.0,36,36,Ipiranga,1,São Paulo,2944996079,500.0,1,5,-23.5958604,-46.60088889999997,1,0,0.0
2720.0,60,60,Paraíso,2,São Paulo,2948593927,2340.0,2,NaN,-23.5743243,-46.6478063,2,1,0.0
2360.0,45,45,Itaim Bibi,1,São Paulo,2947621697,1920.0,1,20,-23.580988,-46.6826327,1,1,0.0
600.0,72,72,Parque Industrial Lagoinha,1,Ribeirão Preto,2936678734,114.0,1,NaN,-21.1925003,-47.77182149999999,1,0,0.0
1050.0,65,65,Jardim São Savério,1,São Paulo,2948798065,480.0,1,NaN,-23.6545883,-46.6100425,2,0,0.0
16500.0,218,218,Jardim América,5,São Paulo,2943032502,2373.0,2,48,-23.561106,-46.66625,3,3,2990000.0
2300.0,85,74,Vila Leopoldina,2,São Paulo,2948009466,785.0,1,25,-23.5288457,-46.7296096,2,0,0.0
2200.0,92,92,Vila Augusta,2,Guarulhos,2948245356,600.0,1,NaN,-23.4835999,-46.5443103,3,1,0.0
4000.0,150,150,Tatuapé,3,São Paulo,2947788033,1650.0,2,NaN,-23.5367396,-46.5763578,3,1,0.0
850.0,65,65,Vila Miriam,1,Guarulhos,2948607658,0.0,1,NaN,-23.4648216,-46.5215448,1,1,0.0
3300.0,30,30,Bom Retiro,1,São Paulo,2947825792,700.0,1,NaN,-23.5228954,-46.6460582,1,1,0.0
1749.0,40,40,Bela Vista,1,São Paulo,2934984566,1110.0,1,23,-23.5556429,-46.6539089,1,0,245000.0
700.0,50,50,Botafogo,1,Campinas,2948101215,400.0,1,NaN,-22.9018064,-47.0640611,1,0,0.0
6000.0,110,110,Moema,0,São Paulo,2946341035,1200.0,2,17,-23.6075164,-46.658363,3,1,1550000.0
5300.0,267,267,Panamby,4,São Paulo,2948303789,1700.0,3,NaN,-23.6294659,-46.7351391,3,2,0.0
1100.0,60,60,Ponte Preta,2,Campinas,2948827878,440.0,1,NaN,-22.9182968,-47.0567706,3,1,0.0
2670.0,70,70,Cambuci,2,São Paulo,2948805388,700.0,2,NaN,-23.5587142,-46.6212569,3,1,0.0
800.0,65,55,Bosque,2,Campinas,2947882417,379.0,1,NaN,-22.9109963,-47.0545809,1,0,220000.0
1500.0,65,55,Jardim do Mar,2,São Bernardo do Campo,2948930728,740.0,1,10,-23.6896915,-46.5583982,1,1,0.0
1658.0,52,52,Mooca,1,São Paulo,2948776743,490.0,1,NaN,-23.548348,-46.623564,2,0,0.0
1550.0,100,100,Vila Andrade,2,São Paulo,2948361106,1190.0,2,NaN,-23.6252828,-46.7372427,2,2,0.0
3110.0,86,86,Jardim do Sol,2,Campinas,2947319243,350.0,2,NaN,-22.7909427,-47.0827694,3,1,0.0
2400.0,65,65,Centro,2,Osasco,2948808924,557.0,0,NaN,-23.5346356,-46.7679431,2,1,0.0
1715.0,32,32,Jardins,1,São Paulo,2931376918,1315.0,1,29,-23.5714099,-46.6599222,1,0,320000.0
2985.0,300,25,Vila Olímpia,1,São Paulo,2940649942,15.0,1,15,-23.6009101,-46.675077699999974,1,1,0.0
1608.0,52,52,Moema,1,São Paulo,2934984602,1437.0,1,32,-23.6040751,-46.6588264,1,1,0.0
1400.0,127,54,Jaguaré,0,São Paulo,2945532944,558.0,2,37,-23.5527998,-46.7454778,2,0,0.0
3470.0,65,65,Itaim Bibi,1,São Paulo,2948790808,1100.0,1,NaN,-23.5803207,-46.6739468,2,0,0.0
7500.0,135,135,Santa Cecília,2,São Paulo,2948101080,950.0,1,NaN,-23.544271,-46.6447202,3,1,0.0
6076.0,420,72,Itaim Bibi,1,São Paulo,2938745058,3513.0,2,17,-23.5835011,-46.67600909999999,2,1,0.0
2000.0,60,27,Jardim São Paulo(Zona Norte),1,São Paulo,2948050864,1000.0,1,13,-23.4983703,-46.61236220000001,1,1,0.0
4500.0,50,50,Vila Nova Conceição,1,São Paulo,2939050084,1700.0,1,14,-23.5966172,-46.6674046,1,1,0.0
5500.0,68,68,Vila Nova Conceição,2,São Paulo,2948695281,800.0,1,5,-23.5975973,-46.671614,1,1,0.0
5360.0,87,87,Itaim Bibi,2,São Paulo,2948846108,400.0,0,NaN,-23.5774516,-46.6714723,2,0,0.0
3050.0,100,100,Vila Bastos,2,Santo André,1001787168,550.0,2,NaN,-23.6641322,-46.540828199999964,3,1,0.0
2500.0,106,106,Vila Formosa,3,São Paulo,2948572100,970.0,1,NaN,-23.5673172,-46.5448019,3,1,0.0
2050.0,45,45,Jardim Paulista,1,São Paulo,2929901096,1100.0,1,30,-23.5591417,-46.6620959,1,0,0.0
2326.0,42,42,Vila Mariana,1,São Paulo,2948883433,700.0,1,NaN,-23.5908174,-46.6336338,1,1,0.0
5200.0,121,121,Vila Leopoldina,2,São Paulo,2935038032,850.0,2,NaN,-23.526199340820312,-46.73889923095703,3,1,0.0
1100.0,45,45,Vila Mazzei,1,São Paulo,2948101857,0.0,0,NaN,-23.4589379,-46.6002051,1,0,0.0
2370.0,60,33,Cerqueira César,1,São Paulo,2938268543,1300.0,1,20,-23.5703933,-46.6590783,1,1,0.0
3200.0,113,113,Santa Paula,4,São Caetano do Sul,2948287314,1055.0,3,NaN,-23.6168739,-46.5649779,3,3,0.0
230000.0,97,89,Tatuapé,1,São Paulo,2941812278,200.0,0,50,-23.53120231628418,-46.558189392089844,2,0,0.0
2200.0,80,80,Ipiranga,2,São Paulo,2948555719,565.0,1,NaN,-23.6019344329834,-46.60746765136719,2,0,0.0
980.0,52,52,Vila Lusitânia,1,São Bernardo do Campo,2948688533,0.0,0,NaN,-23.7118667,-46.5571173,1,0,0.0
1100.0,60,60,Jardim Santa Emília,1,São Paulo,2948219300,280.0,1,NaN,-23.6425695,-46.5981295,2,0,0.0
5000.0,46,46,Bela Vista,1,São Paulo,2947868230,1445.0,1,NaN,-23.5611174,-46.6541086,1,0,0.0
1670.0,320,32,Centro,1,Guarulhos,2938268495,980.0,1,12,-23.4731187,-46.532059600000025,1,1,0.0
3350.0,63,63,Campo Belo,2,São Paulo,2948873102,1000.0,1,NaN,-23.6352016,-46.6654451,3,1,0.0
